"WF9_WORK_YRS,WF9_CAREER_EXPERIENCE,WF9_CHAR_EDUC,WF9_A19_HRS_SKILLS,WF9_WORK_HRS_CAT,WF9_WORK_WAGE,WF9_WORK_MONTHS,WF9_CL5_NUM_CHCLASS,WF9_WORK_BEHAVIOR,WF9_WORK_HELP_AVAILABLE,WF9_WORK_RESPECT,WF9_CHAR_YEAR_BORN,WF9_CHAR_HHINCOME,RACE_W,RACE_B,RACE_A,RACE_O,UNION_Y,UNION_N,HISP_Y,HISP_N,COUNTRY_BORN_US,COUNTRY_BORN_MEX,COUNTRY_BORN_O,MARITAL_NEVER_MARRIED,MARITAL_MARRIED,MARITAL_SEPARATED,MARITAL_DIVORCED,GOVT_PRGM_Y,GOVT_PRGM_N,HEALTH_INSRNCE_NONE,HEALTH_INSRNCE_EMPLOYER,HEALTH_INSRNCE_SPOUSE,HEALTH_INSRNCE_DIRECT,HEALTH_INSRNCE_GOVT,HEALTH_INSRNCE_MEDI,HEALTH_INSRNCE_OTHER,WF9_CHAR_GENDER_M,WF9_CHAR_GENDER_F,WF9_WORK_YRS_R,WF9_CAREER_EXPERIENCE_R,WF9_CHAR_EDUC_R,WF9_A19_HRS_SKILLS_R,WF9_WORK_HRS_CAT_R,WF9_WORK_MONTHS_R,WF9_WORK_BEHAVIOR_R,WF9_WORK_HELP_AVAILABLE_R,WF9_WORK_RESPECT_R,WF9_CHAR_YEAR_BORN_R,WF9_CHAR_HHINCOME_R"
"11,4,6,5,5,13.85,12,12,1,1,1,1963,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"1,1,4,4,1,9.0,2,9,3,1,2,1998,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,2,4,2,3,14.0,12,16,2,2,2,1968,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"9,6,7,3,5,12.5,9,22,3,4,3,1961,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"12,2,7,5,3,21.42857142858,12,15,3,3,1,1991,-1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"8,3,6,2,4,12.0,12,10,1,4,3,1990,2,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"9,3,6,3,5,16.0,12,22,3,2,2,1975,-1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"8,2,4,-1,5,10.0,12,6,3,2,2,1993,-1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1"
"7,1,5,5,6,8.0,12,15,2,1,1,1998,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0"
"15,5,7,5,6,30.55555555556,10,20,3,2,2,1966,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"2,3,7,2,5,16.25,6,23,1,1,1,1987,3,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"1,1,5,3,6,12.0,2,4,3,2,1,1987,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,4,7,4,1,11.49,12,16,2,2,2,1966,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"14,-1,4,5,5,11.0,12,13,2,2,2,1982,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
"13,3,7,2,2,15.0,10,20,3,1,1,1969,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,3,8,5,1,10.75,12,24,3,4,1,1993,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"1,1,5,2,5,14.75,12,31,3,4,1,1991,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,1,4,3,5,9.78260869566,12,20,1,1,1,1974,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"16,6,8,2,5,30.55555555556,12,17,3,1,1,1965,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,1,7,5,5,22.5,9,16,1,3,2,1975,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"6,1,7,2,5,15.0,6,8,3,1,1,1987,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,5,5,5,5,10.75,12,20,1,1,1,1973,-1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"13,6,4,5,5,14.0,12,12,2,1,1,1950,3,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,4,4,3,5,11.0,1,14,3,1,1,1969,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"12,6,3,3,5,11.5,12,15,3,1,2,1950,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,2,6,5,3,13.0,12,12,3,1,1,1993,4,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,1,5,2,5,13.22,12,9,3,2,2,1998,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"14,4,5,1,3,12.0,12,12,3,1,2,1978,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"8,2,5,2,1,12.5,10,16,1,2,2,1975,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,4,6,3,6,13.46153846154,12,12,3,1,1,1987,3,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"5,1,4,1,4,15.4,10,14,1,2,2,1980,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,3,7,3,5,12.5,12,8,1,4,2,1958,-1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"3,1,4,5,5,13.0,3,10,3,1,2,1990,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,1,5,3,5,9.0,12,8,1,1,1,1988,4,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,3,8,3,5,14.0,12,18,3,1,1,1965,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,2,5,2,5,10.0,12,14,3,2,2,1996,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"3,1,7,5,1,22.55639097745,9,12,1,2,1,1971,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,5,6,5,5,17.5,12,-3,1,1,1,1964,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,6,5,4,5,17.0,12,8,3,3,3,1963,5,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,2,7,5,6,6.25,12,10,1,1,1,1982,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,6,7,2,2,17.12,12,42,3,1,1,1967,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,3,7,2,2,16.66666666667,10,15,3,1,1,1963,4,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,6,6,2,6,10.41666666667,12,20,3,1,1,1960,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"1,1,6,2,5,12.0,12,7,3,1,1,1995,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,1,6,3,5,11.0,12,15,3,4,3,1990,-1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"13,6,8,4,4,19.5,12,20,3,2,3,1964,4,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"2,4,7,5,3,11.0,9,11,3,2,2,1970,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,1,5,5,5,12.75,12,6,3,5,5,1998,5,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"14,4,7,4,2,29.62962962963,9,7,1,2,2,1978,5,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,1,5,5,4,15.25,12,18,1,1,1,1995,-1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1"
"5,1,8,4,5,25.86538461539,10,19,3,2,2,1963,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,2,8,4,6,23.33333333334,11,20,3,3,2,1989,4,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,1,5,3,1,9.75,12,11,3,1,1,1966,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,3,5,3,3,13.13,12,16,2,1,1,1977,5,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"15,5,5,5,3,12.71428571429,12,18,1,2,1,1958,3,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,2,8,5,4,9.45945945946,12,8,3,3,3,1991,2,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"2,-1,5,1,1,12.0,1,-3,-1,1,2,1986,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0"
"13,3,6,2,6,16.75,12,9,3,1,1,1977,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"11,2,6,2,5,10.0,12,12,3,2,2,1988,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,1,5,2,5,9.0,2,6,1,1,1,1994,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,1,5,3,5,12.5,12,7,3,1,2,1994,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,6,6,5,6,10.0,12,10,1,1,-1,-1,-1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1"
"4,3,5,5,6,10.0,12,18,1,1,1,1974,4,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"2,2,7,2,2,18.73170731708,9,7,3,2,2,1976,5,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"1,1,5,4,5,10.5,4,13,3,1,1,1998,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,5,5,3,5,9.5,10,8,-1,2,2,1974,2,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
"2,2,5,1,5,12.5,9,20,3,2,2,1998,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"12,2,5,3,5,12.0,12,24,1,1,1,1967,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"12,4,4,5,5,10.5,12,42,2,1,1,1967,2,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,6,7,2,5,19.44444444445,10,17,3,1,1,1950,5,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"2,1,4,4,1,11.0,6,8,1,2,2,1995,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"15,5,7,5,5,43.91891891892,10,22,1,3,2,1960,5,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"2,6,6,3,5,8.65384615385,12,42,2,1,1,1973,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"7,4,4,5,5,10.625,12,18,3,4,4,1984,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"13,4,7,3,1,25.0,9,13,3,2,1,1968,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"14,4,3,2,5,10.75,-1,42,2,1,1,1964,5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
"13,3,7,5,5,12.5,12,20,3,2,2,1982,3,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"14,4,4,3,5,11.0,12,19,1,2,2,1977,5,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"3,1,4,2,5,10.0,12,8,1,2,2,1998,2,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"10,2,6,4,6,20.0,12,6,1,1,1,1983,5,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"4,1,4,2,4,11.26,12,16,1,3,3,1998,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"5,3,5,4,3,11.71428571429,10,13,3,1,1,1987,2,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"9,2,7,2,4,13.0,12,19,3,3,3,1993,2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
